source,group,dataset,n,capacity,algorithm,status,optimum,value,total_weight,selected_count,error_percent,runtime_ms_avg,memory_kb,repeat_times,nodes,pruned,prune_rate
UU,uu_large_uncorrelated,knapPI_1_500_1000_1,500,2543,DP,OK,28857,28857,2543,42,0.0000,0.0000,30,3,0,0,0.0000
UU,uu_large_uncorrelated,knapPI_1_500_1000_1,500,2543,Backtracking,OK,28857,28857,2543,42,0.0000,0.0000,14,1,733,104,0.1419
UU,uu_large_uncorrelated,knapPI_1_500_1000_1,500,2543,Greedy,OK,28857,28834,2528,43,0.0797,0.0000,12,3,0,0,0.0000
UU,uu_large_uncorrelated,knapPI_1_1000_1000_1,1000,5002,DP,OK,54503,54503,5002,83,0.0000,3.0387,59,3,0,0,0.0000
UU,uu_large_uncorrelated,knapPI_1_1000_1000_1,1000,5002,Backtracking,OK,54503,54503,5002,83,0.0000,0.0000,28,1,1940,128,0.0660
UU,uu_large_uncorrelated,knapPI_1_1000_1000_1,1000,5002,Greedy,OK,54503,54386,4991,83,0.2147,0.0000,24,3,0,0,0.0000
UU,uu_large_weakly_correlated,knapPI_2_100_1000_1,100,995,DP,OK,1514,1514,991,9,0.0000,0.0000,12,3,0,0,0.0000
UU,uu_large_weakly_correlated,knapPI_2_100_1000_1,100,995,Backtracking,OK,1514,1514,991,9,0.0000,0.0000,3,1,1837,88,0.0479
UU,uu_large_weakly_correlated,knapPI_2_100_1000_1,100,995,Greedy,OK,1514,1487,983,10,1.7834,0.0000,3,3,0,0,0.0000
UU,uu_large_strongly_correlated,knapPI_3_100_1000_1,100,997,DP,OK,2397,2397,997,14,0.0000,0.0000,12,3,0,0,0.0000
UU,uu_large_strongly_correlated,knapPI_3_100_1000_1,100,997,Backtracking,OK,2397,2397,997,14,0.0000,0.0000,3,1,638,17,0.0266
UU,uu_large_strongly_correlated,knapPI_3_100_1000_1,100,997,Greedy,OK,2397,2375,975,14,0.9178,0.0000,3,3,0,0,0.0000
JJ,jj_hard,n_400_c_1000000_g_10_f_0.1_eps_0.0001_s_100,400,1000000,DP,OK,1004190,1004190,999999,107,0.0000,295.2270,11719,1,0,0,0.0000
JJ,jj_hard,n_400_c_1000000_g_10_f_0.1_eps_0.0001_s_100,400,1000000,Backtracking,OK,1004190,1004190,999999,108,0.0000,373.0910,11,1,9814550,178170,0.0182
JJ,jj_hard,n_400_c_1000000_g_10_f_0.1_eps_0.0001_s_100,400,1000000,Greedy,OK,1004190,1003959,999988,114,0.0230,0.0000,10,1,0,0,0.0000
JJ,jj_hard,n_600_c_1000000_g_10_f_0.1_eps_0.0001_s_100,600,1000000,DP,OK,1004855,1004855,999999,126,0.0000,427.1470,11719,1,0,0,0.0000
JJ,jj_hard,n_600_c_1000000_g_10_f_0.1_eps_0.0001_s_100,600,1000000,Backtracking,TIMEOUT,1004855,1004778,999998,142,NA,10000.4590,17,1,286440427,20688740,0.0722
JJ,jj_hard,n_600_c_1000000_g_10_f_0.1_eps_0.0001_s_100,600,1000000,Greedy,OK,1004855,1004276,999999,150,0.0576,0.0000,15,1,0,0,0.0000
JJ,jj_hard,n_800_c_1000000_g_10_f_0.1_eps_0.0001_s_100,800,1000000,DP,OK,1006050,1006050,1000000,143,0.0000,532.3660,11719,1,0,0,0.0000
JJ,jj_hard,n_800_c_1000000_g_10_f_0.1_eps_0.0001_s_100,800,1000000,Backtracking,TIMEOUT,1006050,1006039,1000000,159,NA,10000.9670,22,1,254431125,1929565,0.0076
